objectid,filename,youtubeid,title,format,description,creator,recipient,date,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language
blackworld002,https://books.google.com/books?id=rjkDAAAAMBAJ&lpg=PA1&pg=PA4#v=onepage&q&f=false,,Pamphlet/Manifesto Poetry,application/pdf,"Fowler ruminates on the best method of transmitting Black culture, whether it be the spoken or written word.",Carolyn Fowler,,1974.06,youtube video,"AAVE, Civil Rights, Poetry","Atlanta, Georgia",33.75155685,-84.41121005,,Google Books,Johnson Publishing,1974.06.04.23.8,,1974.06.04.23.8,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng
blackworld003,https://books.google.com/books?id=rjkDAAAAMBAJ&lpg=PA1&pg=PA20#v=onepage&q&f=false,,Ishmael Reed on Ishmael Reed,application/pdf,Author Ishmael Reed answers questions about his novels and his writing process.,Ishmael Reed,,1974.06,radio program,"Black Novelists, Novels","Chattanooga, Tennesse",35.04198553,-85.24145772,Good News,Google Books,Johnson Publishing,1974.06.20.23.8,"MG-101, Box 5, Tapes",1974.06.20.23.8,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng
blackworld004,https://books.google.com/books?id=rjkDAAAAMBAJ&lpg=PA1&pg=PA36#v=onepage&q&f=false,,The Novels of Hal Bennett,application/pdf,"Walcott writes about Novelist Hal Bennett, and how Bennett tackles satire and race in his books.",Ronald Walcott,,1974.06,radio program,"Black Novelists, Novels","New York City, New York",40.66785978,-73.91521112,Good News,Google Books,Johnson Publishing,1974.06.36.23.8,"MG-101, Box 5, Tapes",1974.06.36.23.8,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng
blackworld005,https://books.google.com/books?id=rjkDAAAAMBAJ&lpg=PA1&pg=PA49#v=onepage&q&f=false,,Perspectives,application/pdf,"Various Updates on African American Arts, including novels, theatre, film, etc.",Ruth Rambo McClain,,1974.06,radio program,"Black History, Black Theatre, Black Film, Black Novelists","South Orange, NJ",40.74882552,-74.26308256,Good News,Google Books,Johnson Publishing,1974.06.49.23.8,"MG-101, Box 5, Tapes",1974.06.49.23.8,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng
blackworld006,https://books.google.com/books?id=rjkDAAAAMBAJ&lpg=PA1&pg=PA51#v=onepage&q&f=false,,Books Noted,application/pdf,A Collection of Book Reviews for the following books: Sula by Toni Morrison and The Boar Hog Woman by Cleo Overstreet.,Clyde Taylor,,1974.06,single-page; photographs,"Black Novelists, Novels, Book Review","Berkeley, California",37.8701298,-122.2595464,,Google Books,Johnson Publishing,1974.06.51.23.8,"MG-101, Box 6, Folder - 'Frank B. Robinson Negatives'",1974.06.51.23.8,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng
blackworld007,https://books.google.com/books?id=rjkDAAAAMBAJ&lpg=PA1&pg=PA53#v=onepage&q&f=false,,The Ear of the Behearer,application/pdf,A review of jazz album 'The Ear of the Behearer' by Dewey Redman,Roger Riggins,,1974.06,single-page; offers,"Jazz, Black Musicians","New York City, New York",40.66785978,-73.91521112,,Google Books,Johnson Publishing,1974.06.53.23.8,"MG-101, Box 7, Folder 26",1974.06.53.23.8,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng
blackworld008,https://books.google.com/books?id=rjkDAAAAMBAJ&lpg=PA1&pg=PA54#v=onepage&q&f=false,,The Long Night,application/pdf,A short suspense story about a Black woman hiding from the police,Toni Cade Bambara,,1974.06,single-page; flyers,"Short Story, Suspense, Police Violence","Newark, New Jersey",40.74163324,-74.1741891,,Google Books,Johnson Publishing,1974.06.54.23.8,"MG-101, Box 7, Folder 13",1974.06.54.23.8,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng
blackworld009,https://books.google.com/books?id=rjkDAAAAMBAJ&lpg=PA1&pg=PA61#v=onepage&q&f=false,,"For You, There is Only Dancing",application/pdf,A short story about a father and son going fishing together.,Richard H Perry,,1974.06,single-page; photographs,Short Story,"New York City, New York",40.66785978,-73.91521112,,Google Books,Johnson Publishing,1974.06.61.23.8,"MG-101, Box 6, Folder - 'Photographs'",1974.06.61.23.8,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng
blackworld010,https://books.google.com/books?id=rjkDAAAAMBAJ&lpg=PA1&pg=PA67#v=onepage&q&f=false,,"(""Pole"" is a word of condolence in Swahili that one man gives another at the death of a loved one)",application/pdf,A poem about death.,Sharleen Dickenson,,1974.06,single-page; flyers,"Poetry, Swahili Culture, Death Practices.",,,,,Google Books,Johnson Publishing,1974.06.67.23.8,"MG-101, Box 7, Folder 13",1974.06.67.23.8,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng
blackworld011,https://books.google.com/books?id=rjkDAAAAMBAJ&lpg=PA1&pg=PA68#v=onepage&q&f=false,,"Never Show Your Feelings, Boy",application/pdf,A short story about a young boy and his fraught relationship with his grandfather in New York City.,Leonard J. Guardine,,1974.06,single-page; flyers,Short Story,"New York City, New York",40.66785978,-73.91521112,,Google Books,Johnson Publishing,1974.06.68.23.8,"MG-101, Box 7, Folder 13",1974.06.68.23.8,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng
blackworld012,https://books.google.com/books?id=rjkDAAAAMBAJ&lpg=PA1&pg=PA72#v=onepage&q&f=false,,Give Us This Day,application/pdf,A short story about a man named Shad Harris' day and his experience almsot being mugged.,Alice Reid,,1974.06,single-page; buttons (information artifacts),Short Story,"Oakland, California",37.79538478,-122.2628275,,Google Books,Johnson Publishing,1974.06.72.23.8,"MG-101, Box 6, Folder - 'Miscellaneous Negatives'",1974.06.72.23.8,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng
